,assoc_req_count,assoc_succ_count,auths_count,deauth1_count,deauth2_count,deauth3_count,deauth_total,assoc_succ + auth
ee:df:58:00:2a:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70:3a:0e:51:68:61,13.0,13.0,13.0,8.0,6.0,0.0,14.0,26.0
2e:dc:ad:e5:cb:a6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40:e3:d6:54:df:a1,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0
a6:86:e3:b8:53:79,14.0,14.0,14.0,14.0,10.0,4.0,28.0,28.0
94:b4:0f:2f:28:23,2.0,2.0,2.0,2.0,2.0,2.0,6.0,4.0
04:80:06:87:20:ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70:3a:0e:51:4b:51,3.0,3.0,3.0,3.0,3.0,0.0,6.0,6.0
b4:5d:50:13:2f:e1,388.0,388.0,430.0,368.0,289.0,34.0,691.0,818.0
00:00:00:00:0d:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86:ca:c4:2d:53:96,158.0,158.0,172.0,144.0,140.0,6.0,290.0,330.0
10:98:c3:23:14:a5,26.0,26.0,28.0,16.0,5.0,8.0,29.0,54.0
90:a2:5b:15:e0:66,5.0,5.0,5.0,1.0,0.0,0.0,1.0,10.0
c2:65:80:08:97:71,108.0,108.0,106.0,98.0,90.0,6.0,194.0,214.0
5a:16:d7:a9:19:96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:11:83:e7:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC:38:17:c3:82:8f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:a3:1e:5a:ab:91,3.0,3.0,3.0,3.0,3.0,0.0,6.0,6.0
78:61:7c:2b:99:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b0:ae:c3:82:d7:90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70:3a:0e:50:1a:b0,29.0,29.0,35.0,25.0,25.0,1.0,51.0,64.0
f0:ab:54:71:b9:ec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:f9:d3:31:fb:33,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
38:17:c3:82:ac:f1,10.0,10.0,10.0,9.0,9.0,0.0,18.0,20.0
ee:a2:2c:3f:8c:06,2.0,2.0,2.0,2.0,0.0,1.0,3.0,4.0
70:3a:0e:53:1a:00,14.0,14.0,14.0,12.0,12.0,0.0,24.0,28.0
0c:2f:b0:74:3f:fc,172.0,172.0,205.0,173.0,149.0,6.0,328.0,377.0
ac:a3:1e:54:10:e0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,6.0
00:47:72:69:67:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fc:57:de:00:2a:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5a:d8:84:bb:7f:e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c0:e8:05:01:01:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2:55:eb:b3:63:fb,9.0,9.0,9.0,7.0,7.0,1.0,15.0,18.0
0c:bb:c3:82:d2:b1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:00:ef:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70:3a:0e:51:25:c1,66.0,66.0,66.0,68.0,64.0,3.0,135.0,132.0
0a:50:e3:cb:02:68,4.0,4.0,4.0,4.0,3.0,1.0,8.0,8.0
40:e3:d6:54:b7:a0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
90:4c:81:8c:08:d0,4.0,4.0,4.0,2.0,4.0,0.0,6.0,8.0
ac:a3:1e:58:53:71,52.0,52.0,55.0,51.0,50.0,1.0,102.0,107.0
84:d4:7e:6f:06:21,25.0,25.0,25.0,14.0,9.0,0.0,23.0,50.0
48:f0:7b:39:e6:79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88:e9:fe:73:ea:60,4.0,4.0,4.0,2.0,2.0,0.0,4.0,8.0
c4:84:66:70:af:51,2.0,2.0,2.0,0.0,2.0,0.0,2.0,4.0
20:ab:37:87:cd:96,177.0,177.0,177.0,150.0,161.0,5.0,316.0,354.0
78:0c:f0:33:24:ae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0a:f7:6d:60:54:8a,138.0,138.0,169.0,135.0,123.0,15.0,273.0,307.0
ac:a3:1e:5b:a4:11,18.0,18.0,18.0,18.0,16.0,0.0,34.0,36.0
ac:a3:1e:5b:8c:21,1.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0
9e:18:88:fb:ae:c0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40:e3:d6:52:29:10,11.0,11.0,11.0,11.0,10.0,1.0,22.0,22.0
00:54:af:d4:27:e3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84:ab:1a:3f:10:f5,30.0,30.0,30.0,28.0,27.0,1.0,56.0,60.0
40:e3:d6:54:da:40,7.0,7.0,8.0,4.0,4.0,0.0,8.0,15.0
c0:ee:fb:dc:af:36,41.0,41.0,41.0,38.0,32.0,2.0,72.0,82.0
ce:81:e6:db:2c:48,61.0,61.0,61.0,61.0,57.0,3.0,121.0,122.0
AC:90:4c:81:86:53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70:3a:0e:52:e2:71,13.0,13.0,13.0,13.0,13.0,0.0,26.0,26.0
90:4c:81:8e:ae:40,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
68:10:00:24:00:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:4c:81:8f:3f:91,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0
70:3a:0e:51:4b:41,5.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0
5e:e7:a5:19:9f:0f,5.0,5.0,5.0,5.0,0.0,1.0,6.0,10.0
bc:3f:4e:3e:46:81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7a:01:6f:00:2a:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6e:00:6c:63:67:b4,461.0,461.0,493.0,449.0,382.0,21.0,852.0,954.0
30:13:c3:82:73:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:a3:1e:5a:6a:f1,31.0,31.0,34.0,29.0,28.0,3.0,60.0,65.0
8a:b9:35:c7:3e:9a,345.0,345.0,392.0,328.0,331.0,5.0,664.0,737.0
70:3a:0e:4f:7b:71,35.0,35.0,36.0,35.0,35.0,0.0,70.0,71.0
ac:a3:1e:54:19:b1,107.0,107.0,107.0,84.0,82.0,1.0,167.0,214.0
b2:00:73:a2:8c:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:4c:81:93:46:e1,6.0,6.0,6.0,6.0,6.0,0.0,12.0,12.0
be:75:36:0c:5e:3a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:3a:72:63:ee:f8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40:e3:d6:54:fe:20,22.0,11.0,27.0,623.0,0.0,601.0,1224.0,38.0
78:61:7c:65:75:a8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e:94:fd:ae:58:43,44.0,44.0,52.0,45.0,27.0,11.0,83.0,96.0
f4:0e:01:56:55:3c,21.0,21.0,21.0,21.0,21.0,18.0,60.0,42.0
70:3a:0e:51:69:81,8.0,8.0,8.0,7.0,7.0,0.0,14.0,16.0
ac:a3:1e:5b:7d:f0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,4.0
ce:30:60:5a:62:46,87.0,86.0,95.0,83.0,37.0,4.0,124.0,181.0
8a:15:04:a1:48:81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:a3:1e:5b:f4:d1,5.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0
ba:9a:4f:fb:a8:9a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f0:5c:19:36:8d:d0,7.0,7.0,9.0,8.0,7.0,2.0,17.0,16.0
ac:a3:1e:5a:a5:90,11.0,11.0,11.0,11.0,11.0,0.0,22.0,22.0
04:38:c3:82:d7:90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40:4e:36:86:81:8e,112.0,112.0,110.0,102.0,103.0,1.0,206.0,222.0
ae:5f:3e:fe:92:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70:3a:0e:50:eb:21,19.0,19.0,22.0,19.0,10.0,1.0,30.0,41.0
36:e2:12:58:1a:c9,9.0,9.0,10.0,7.0,6.0,1.0,14.0,19.0
c4:9d:ed:27:0c:7b,7.0,7.0,10.0,7.0,5.0,7.0,19.0,17.0
e0:b5:5f:ef:9d:db,28.0,28.0,28.0,19.0,27.0,2.0,48.0,56.0
f2:16:84:f7:4e:a3,165.0,165.0,170.0,120.0,87.0,12.0,219.0,335.0
44:e6:6e:9a:47:cc,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0
00:00:10:bf:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a:f0:3e:64:ce:5e,23.0,23.0,25.0,24.0,21.0,2.0,47.0,48.0
90:3a:72:06:cd:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c6:29:b5:f3:0b:75,74.0,74.0,77.0,54.0,72.0,5.0,131.0,151.0
84:10:00:00:00:cc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40:e3:d6:52:2d:b0,7.0,7.0,8.0,7.0,6.0,1.0,14.0,15.0
bc:6c:21:a2:0d:a7,56.0,56.0,60.0,57.0,47.0,7.0,111.0,116.0
ac:a3:1e:5a:e2:60,5.0,5.0,6.0,3.0,4.0,0.0,7.0,11.0
40:e3:d6:4f:bc:41,6.0,6.0,6.0,6.0,6.0,0.0,12.0,12.0
4a:f9:d3:ca:e3:f2,53.0,53.0,54.0,51.0,53.0,0.0,104.0,107.0
84:31:cc:00:3e:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f0:5c:19:b9:09:31,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
90:4c:81:8c:16:81,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
38:17:c3:82:72:51,7.0,7.0,7.0,6.0,5.0,1.0,12.0,14.0
78:61:7c:3f:79:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d4:12:43:1b:62:1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7c:db:98:ea:a7:2f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:4c:81:8b:f8:e0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0
00:00:00:00:01:1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bc:fe:d9:8a:e3:12,71.0,71.0,75.0,63.0,62.0,3.0,128.0,146.0
22:6a:92:0a:1a:e5,23.0,23.0,28.0,22.0,20.0,3.0,45.0,51.0
AC:38:17:c3:84:83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a:c0:39:30:c6:0a,2.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0
82:e1:60:58:30:0f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:a3:1e:5a:5d:b0,6.0,6.0,6.0,5.0,5.0,0.0,10.0,12.0
40:83:1d:9e:e4:bf,4.0,4.0,4.0,4.0,4.0,4.0,12.0,8.0
40:e3:d6:50:e9:e1,3.0,3.0,3.0,3.0,2.0,0.0,5.0,6.0
b4:5d:50:13:24:c0,345.0,345.0,395.0,305.0,231.0,118.0,654.0,740.0
c8:b5:ad:af:1c:31,11.0,11.0,11.0,9.0,7.0,1.0,17.0,22.0
a4:b4:39:f7:b4:4e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40:e3:d6:54:ef:91,210.0,210.0,210.0,204.0,203.0,0.0,407.0,420.0
40:e3:d6:51:fa:a0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
a8:c0:ea:00:52:64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10:94:bb:d8:9c:42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2:00:73:2e:aa:d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46:89:ac:55:84:7c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9e:18:98:fb:70:ec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24:f6:77:0f:20:ca,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0
40:e3:d6:51:c0:c1,1.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0
b8:c1:11:1b:3d:f7,4.0,4.0,4.0,4.0,3.0,2.0,9.0,8.0
9e:18:98:fb:8f:a9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40:e3:d6:52:31:a1,3.0,3.0,4.0,3.0,3.0,0.0,6.0,7.0
38:17:c3:82:a4:20,19.0,19.0,19.0,14.0,0.0,13.0,27.0,38.0
88:c0:8b:d7:a4:a7,23.0,23.0,25.0,22.0,19.0,2.0,43.0,48.0
8c:86:1e:3c:56:d5,91.0,91.0,95.0,80.0,65.0,4.0,149.0,186.0
52:32:9c:19:27:fd,116.0,116.0,131.0,110.0,85.0,12.0,207.0,247.0
f0:ab:54:65:84:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ae:b0:b5:00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:17:c3:82:a9:f1,148.0,148.0,151.0,136.0,90.0,3.0,229.0,299.0
08:11:fe:99:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:57:c1:b7:d5:f9,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0
9c:8c:d8:72:49:10,7.0,7.0,9.0,7.0,0.0,2.0,9.0,16.0
f0:ab:54:45:11:f2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84:fd:d1:c8:b6:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78:61:7c:49:48:f2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:4c:81:8b:9c:71,9.0,9.0,9.0,9.0,9.0,0.0,18.0,18.0
1a:63:29:16:49:03,17.0,17.0,19.0,19.0,16.0,3.0,38.0,36.0
40:e3:d6:54:e4:e1,6.0,6.0,7.0,5.0,6.0,0.0,11.0,13.0
02:54:af:f2:44:df,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98:01:a7:d3:77:47,5.0,5.0,7.0,6.0,1.0,3.0,10.0,12.0
38:17:c3:82:8b:21,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
04:80:06:69:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:4e:af:ce:1e:b3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:17:c3:84:83:b0,51.0,51.0,51.0,38.0,38.0,5.0,81.0,102.0
