,assoc_req_count,assoc_succ_count,auths_count,deauth1_count,deauth2_count,deauth3_count,deauth_total,assoc_succ + auth
cc:66:0a:a2:d3:b5,151.0,151.0,154.0,152.0,119.0,7.0,278.0,305.0
f0:5c:19:b8:45:21,8.0,8.0,9.0,7.0,7.0,1.0,15.0,17.0
a0:4f:85:c9:41:15,196.0,196.0,198.0,190.0,176.0,6.0,372.0,394.0
88:19:08:11:b4:85,47.0,47.0,56.0,43.0,35.0,41.0,119.0,103.0
1a:a9:ce:69:b7:4f,29.0,29.0,31.0,26.0,21.0,4.0,51.0,60.0
ac:a3:1e:5a:5c:31,112.0,112.0,112.0,97.0,100.0,1.0,198.0,224.0
40:e3:d6:54:ef:11,8.0,8.0,8.0,8.0,6.0,0.0,14.0,16.0
70:3a:0e:53:47:f0,39.0,39.0,39.0,34.0,19.0,5.0,58.0,78.0
2c:f0:ee:0d:7c:08,2.0,2.0,2.0,1.0,1.0,0.0,2.0,4.0
b8:d7:af:ae:95:c4,13.0,13.0,13.0,13.0,12.0,1.0,26.0,26.0
34:ab:37:cc:0f:15,4.0,4.0,4.0,2.0,0.0,2.0,4.0,8.0
24:1b:7a:91:12:1d,29.0,29.0,32.0,29.0,27.0,1.0,57.0,61.0
33:33:ff:00:ea:64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:17:c3:82:5e:70,13.0,13.0,13.0,2.0,1.0,1.0,4.0,26.0
f0:5c:19:b9:0b:30,22.0,22.0,23.0,17.0,14.0,2.0,33.0,45.0
08:11:be:16:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dc:a9:04:7d:69:ff,18.0,18.0,21.0,23.0,16.0,6.0,45.0,39.0
ac:a3:1e:5a:ba:51,93.0,93.0,93.0,17.0,17.0,0.0,34.0,186.0
f0:ab:54:e4:2f:8f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:17:c3:82:d2:13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76:99:67:d3:ac:5c,202.0,202.0,213.0,189.0,153.0,4.0,346.0,415.0
08:11:f0:57:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:17:c3:82:db:01,7.0,7.0,7.0,7.0,3.0,0.0,10.0,14.0
10:98:c3:bb:0f:42,61.0,61.0,67.0,62.0,56.0,3.0,121.0,128.0
4e:74:7d:67:df:7e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2:d2:f3:f3:ad:a9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c4:49:bb:ba:0b:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7c:57:3c:88:c5:b0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0
9a:18:98:fb:9d:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c4:49:bb:d9:ea:c7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a8:86:dd:ac:a4:91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c6:d9:25:15:4d:63,77.0,77.0,80.0,78.0,69.0,3.0,150.0,157.0
00:00:00:00:13:75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48:4a:e9:d1:d9:31,94.0,94.0,102.0,92.0,73.0,8.0,173.0,196.0
48:4a:e9:d5:40:00,209.0,209.0,222.0,154.0,137.0,24.0,315.0,431.0
ec:2c:e2:7b:fc:2a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
1c:36:bb:ed:1d:d5,12.0,12.0,12.0,12.0,11.0,1.0,24.0,24.0
8a:de:fb:64:d1:dc,54.0,54.0,54.0,53.0,45.0,3.0,101.0,108.0
e2:51:63:13:b5:8a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70:3a:0e:4f:ff:f1,7.0,7.0,7.0,5.0,5.0,0.0,10.0,14.0
b4:5d:50:13:80:20,331.0,331.0,360.0,308.0,244.0,73.0,625.0,691.0
ac:a3:1e:5a:63:e1,7.0,7.0,7.0,7.0,7.0,0.0,14.0,14.0
70:3a:0e:50:b0:80,29.0,29.0,31.0,18.0,25.0,4.0,47.0,60.0
28:ac:9e:03:d0:ee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:4c:81:8b:d8:f0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0
44:ad:b1:84:77:6e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:a3:1e:5b:ac:20,12.0,12.0,12.0,12.0,8.0,0.0,20.0,24.0
f0:18:98:76:1d:cf,8.0,8.0,8.0,11.0,3.0,4.0,18.0,16.0
00:00:00:00:5b:e4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9a:18:98:fb:8f:a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f0:ca:3e:00:3e:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:37:43:a7:05:f9,64.0,64.0,66.0,57.0,55.0,3.0,115.0,130.0
b6:1a:1d:35:f3:d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94:f6:d6:79:02:63,122.0,122.0,127.0,101.0,97.0,12.0,210.0,249.0
a0:4f:85:a1:3e:a4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b4:5d:50:12:c4:91,369.0,369.0,388.0,331.0,280.0,15.0,626.0,757.0
b4:5d:50:13:76:01,186.0,186.0,191.0,181.0,156.0,5.0,342.0,377.0
b4:5d:50:13:74:70,323.0,323.0,331.0,299.0,264.0,31.0,594.0,654.0
ba:9f:09:aa:1a:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6a:a4:43:00:3e:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:4c:81:8e:bd:00,1.0,1.0,4.0,1.0,1.0,1.0,3.0,5.0
10:79:40:99:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:4c:81:8b:fc:11,42.0,42.0,42.0,42.0,41.0,0.0,83.0,84.0
ac:04:01:5f:95:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ae:af:b0:00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da:b2:78:f8:07:b9,126.0,126.0,137.0,120.0,110.0,3.0,233.0,263.0
48:4a:e9:98:04:51,21.0,21.0,21.0,20.0,19.0,0.0,39.0,42.0
80:8d:b7:7d:7e:30,175.0,175.0,189.0,155.0,121.0,29.0,305.0,364.0
04:80:06:43:29:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:10:f5:eb:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fa:46:05:73:00:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:a3:1e:5b:94:e1,15.0,15.0,16.0,14.0,14.0,1.0,29.0,31.0
9e:18:88:fb:6f:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46:42:32:66:74:b5,120.0,120.0,125.0,118.0,98.0,6.0,222.0,245.0
ac:a3:1e:54:19:40,6.0,6.0,6.0,6.0,6.0,3.0,15.0,12.0
ac:a3:1e:5a:ae:31,22.0,22.0,22.0,22.0,20.0,1.0,43.0,44.0
90:3a:72:06:d5:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bc:09:63:2c:19:8b,31.0,31.0,31.0,26.0,22.0,4.0,52.0,62.0
84:d4:7e:68:a8:b1,6.0,6.0,6.0,6.0,6.0,0.0,12.0,12.0
f0:5c:19:b8:45:41,146.0,146.0,188.0,149.0,111.0,20.0,280.0,334.0
02:1e:bb:0d:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8c:57:9b:8b:eb:5b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f0:d5:bf:f7:ed:2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:17:c3:82:df:f1,89.0,89.0,89.0,89.0,84.0,0.0,173.0,178.0
ac:a3:1e:5a:88:50,22.0,22.0,22.0,20.0,22.0,0.0,42.0,44.0
94:bf:c4:60:df:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:10:40:b7:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:54:af:f0:af:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2e:dc:ad:fd:3d:6a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80:58:f8:d7:85:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:a3:1e:5a:68:81,8.0,8.0,9.0,4.0,3.0,0.0,7.0,17.0
60:9a:c1:49:f0:88,11.0,11.0,11.0,9.0,4.0,5.0,18.0,22.0
e0:33:8e:60:06:e0,133.0,133.0,138.0,102.0,91.0,7.0,200.0,271.0
88:cb:87:dc:11:16,39.0,39.0,41.0,37.0,35.0,2.0,74.0,80.0
b4:5d:50:13:72:90,110.0,110.0,110.0,101.0,99.0,8.0,208.0,220.0
f0:ab:54:a6:91:6f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0c:90:c3:82:73:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:17:c3:82:90:01,5.0,5.0,5.0,5.0,5.0,0.0,10.0,10.0
14:87:6a:7e:d9:b7,18.0,18.0,20.0,11.0,7.0,4.0,22.0,38.0
9c:8c:d8:72:15:21,15.0,15.0,15.0,14.0,14.0,0.0,28.0,30.0
b2:00:73:a7:6e:3b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3c:22:fb:ea:b1:e4,15.0,15.0,15.0,24.0,12.0,11.0,47.0,30.0
08:10:c9:ed:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66:10:f8:d2:48:29,50.0,50.0,57.0,51.0,43.0,2.0,96.0,107.0
08:11:90:cc:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92:5f:18:52:df:a7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40:e3:d6:54:e5:42,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0
78:61:7c:65:b6:92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:4c:81:8c:39:e1,4.0,4.0,4.0,4.0,4.0,0.0,8.0,8.0
ac:a3:1e:5a:66:10,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0
70:3a:0e:52:fe:b0,12.0,12.0,12.0,12.0,12.0,0.0,24.0,24.0
24:5b:a7:03:4f:70,31.0,31.0,38.0,35.0,26.0,4.0,65.0,69.0
8e:c0:0c:c3:48:e2,11.0,11.0,11.0,10.0,8.0,3.0,21.0,22.0
33:33:ff:1c:f8:d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32:cf:08:34:37:a7,168.0,168.0,176.0,166.0,133.0,14.0,313.0,344.0
14:91:82:f7:a8:0c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:c3:82:ce:70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40:e3:d6:52:1f:01,3.0,3.0,7.0,5.0,3.0,2.0,10.0,10.0
38:17:c3:82:69:d0,6.0,6.0,6.0,6.0,6.0,0.0,12.0,12.0
94:a3:ca:0d:8b:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8c:85:90:d1:9c:b7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
00:00:21:0c:0f:04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:4c:81:8b:da:10,25.0,25.0,28.0,24.0,24.0,1.0,49.0,53.0
1a:8d:db:6d:67:d0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d8:3b:bf:dc:35:20,60.0,60.0,60.0,55.0,6.0,55.0,116.0,120.0
9c:fc:e8:0a:e6:fa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:17:c3:82:bc:50,47.0,47.0,47.0,35.0,46.0,1.0,82.0,94.0
b2:00:73:5d:3e:35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9e:18:98:fb:90:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48:bf:6b:f1:19:96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68:72:51:88:93:a9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9e:18:98:fb:8f:7b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ce:40:8e:9f:89:c9,25.0,25.0,25.0,25.0,24.0,1.0,50.0,50.0
ac:a3:1e:5b:7f:f0,49.0,49.0,49.0,48.0,48.0,0.0,96.0,98.0
d4:4d:a4:e8:49:b9,78.0,78.0,82.0,80.0,70.0,3.0,153.0,160.0
d0:2b:20:7d:ff:91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b8:1d:aa:be:bf:63,6.0,6.0,6.0,6.0,5.0,1.0,12.0,12.0
38:17:c3:82:78:d1,14.0,14.0,14.0,14.0,14.0,0.0,28.0,28.0
b2:00:73:e4:0c:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e0:37:bf:0b:49:80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46:e4:ee:d5:37:51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:54:af:bd:bc:0f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f8:e7:1e:92:27:7c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:17:c3:89:f5:d1,65.0,65.0,65.0,52.0,46.0,12.0,110.0,130.0
86:00:3e:01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78:88:6d:99:f1:df,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:a3:1e:59:b2:a0,12.0,12.0,13.0,12.0,6.0,2.0,20.0,25.0
08:11:a3:d9:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c8:3c:85:92:bf:44,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0
10:45:77:1f:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d8:1c:79:c6:f9:c0,10.0,10.0,10.0,10.0,8.0,1.0,19.0,20.0
12:ff:24:e8:29:15,59.0,59.0,78.0,56.0,37.0,13.0,106.0,137.0
f0:ab:54:51:ca:a8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c6:a9:1a:c3:04:fb,65.0,65.0,67.0,66.0,54.0,4.0,124.0,132.0
80:2b:f9:de:92:bd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0:73:d5:2e:0b:ad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28:2c:30:34:38:3c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:ac:c3:82:73:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9a:18:98:fb:a4:a5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10:94:bb:e0:76:32,16.0,16.0,16.0,1.0,0.0,1.0,2.0,32.0
90:b0:ed:bd:66:41,205.0,205.0,206.0,206.0,188.0,4.0,398.0,411.0
88:9e:33:28:be:7c,2.0,2.0,6.0,2.0,1.0,2.0,5.0,8.0
70:3a:0e:51:31:c0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0
ac:a3:1e:5a:63:f0,10.0,10.0,10.0,4.0,10.0,0.0,14.0,20.0
22:ad:56:31:eb:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33:33:ff:c5:1e:ca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:17:c3:84:1a:a0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0
50:bc:96:b8:72:c5,29.0,29.0,31.0,29.0,12.0,7.0,48.0,60.0
f0:ab:54:64:7e:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:4c:81:8f:11:31,13.0,13.0,13.0,13.0,13.0,0.0,26.0,26.0
9e:18:88:fb:8f:f4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4c:b1:cd:d8:da:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f0:5c:19:37:06:c0,10.0,10.0,10.0,8.0,8.0,3.0,19.0,20.0
9c:8c:d8:72:db:d0,81.0,81.0,81.0,73.0,72.0,25.0,170.0,162.0
00:00:04:80:06:5d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d6:f6:14:00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a4:b2:39:a0:b6:6e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10:0a:b7:b5:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a6:34:79:00:cd:05,40.0,40.0,44.0,37.0,32.0,5.0,74.0,84.0
00:00:00:00:fd:aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f2:df:f6:0b:07:1b,257.0,257.0,269.0,197.0,201.0,15.0,413.0,526.0
38:17:c3:84:88:b0,17.0,17.0,17.0,16.0,13.0,4.0,33.0,34.0
ac:a3:1e:5b:8a:f1,11.0,11.0,11.0,11.0,11.0,0.0,22.0,22.0
70:3a:0e:52:09:12,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0
de:83:ac:b3:72:0d,10.0,10.0,10.0,10.0,10.0,1.0,21.0,20.0
fc:18:3c:c6:95:e6,166.0,166.0,169.0,123.0,65.0,7.0,195.0,335.0
ac:a3:1e:54:1b:c0,7.0,7.0,7.0,7.0,7.0,6.0,20.0,14.0
ac:a3:1e:58:43:91,12.0,12.0,12.0,12.0,12.0,0.0,24.0,24.0
ac:a3:1e:5a:31:70,14.0,14.0,14.0,12.0,14.0,0.0,26.0,28.0
70:3a:0e:50:6a:f0,3.0,3.0,4.0,3.0,3.0,0.0,6.0,7.0
b8:90:47:95:04:b1,61.0,61.0,61.0,55.0,55.0,55.0,165.0,122.0
70:3a:0e:53:18:80,10.0,10.0,10.0,10.0,8.0,0.0,18.0,20.0
dc:9b:9c:89:03:62,9.0,9.0,10.0,10.0,7.0,3.0,20.0,19.0
48:4a:e9:98:e0:a0,26.0,26.0,27.0,25.0,15.0,11.0,51.0,53.0
70:79:b3:03:e2:4e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30:57:14:7e:af:ce,41.0,41.0,43.0,29.0,37.0,4.0,70.0,84.0
ac:a3:1e:5a:99:31,5.0,5.0,8.0,6.0,5.0,1.0,12.0,13.0
40:70:f5:11:9a:4e,26.0,26.0,26.0,24.0,25.0,1.0,50.0,52.0
70:3a:0e:51:47:c0,7.0,7.0,7.0,6.0,7.0,0.0,13.0,14.0
e4:9a:dc:29:37:88,9.0,9.0,9.0,7.0,5.0,5.0,17.0,18.0
b4:5d:50:13:2d:50,70.0,70.0,73.0,58.0,61.0,7.0,126.0,143.0
40:e3:d6:54:fd:f0,5.0,5.0,5.0,5.0,4.0,1.0,10.0,10.0
bc:83:85:e0:df:80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76:c8:b4:49:97:b4,11.0,11.0,11.0,8.0,4.0,4.0,16.0,22.0
3c:28:6d:fd:93:3d,89.0,89.0,93.0,88.0,65.0,5.0,158.0,182.0
d4:53:83:a2:bf:58,32.0,32.0,33.0,31.0,25.0,1.0,57.0,65.0
40:e3:d6:51:ec:a1,473.0,473.0,486.0,472.0,473.0,0.0,945.0,959.0
32:e5:4c:25:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5a:00:3e:01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:a3:1e:5b:aa:b0,3.0,3.0,4.0,4.0,2.0,2.0,8.0,7.0
2c:14:c3:82:d7:93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:4c:81:8e:aa:f0,24.0,24.0,24.0,16.0,13.0,3.0,32.0,48.0
c2:d2:dd:1f:7a:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7c:04:d0:d7:ae:b4,2.0,2.0,2.0,1.0,1.0,0.0,2.0,4.0
90:4c:81:8c:03:01,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
4a:78:7f:56:c5:1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a:e1:00:00:00:08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66:1c:ae:6f:50:12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f2:10:44:c3:08:3b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48:4a:e9:97:5a:50,46.0,46.0,46.0,41.0,46.0,3.0,90.0,92.0
ac:a3:1e:5a:b8:41,27.0,27.0,31.0,28.0,28.0,0.0,56.0,58.0
ac:a3:1e:5a:01:02,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0
74:95:ec:f5:63:1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98:18:88:fb:ad:2c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8a:e2:c3:82:73:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3e:d2:d8:96:a0:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0:2b:20:df:6a:fa,62.0,62.0,64.0,60.0,58.0,59.0,177.0,126.0
10:98:c3:14:10:2a,3.0,3.0,3.0,3.0,1.0,1.0,5.0,6.0
ee:7b:c1:3e:68:04,16.0,16.0,20.0,17.0,17.0,2.0,36.0,36.0
90:4c:81:ab:b7:c1,11.0,11.0,12.0,11.0,12.0,0.0,23.0,23.0
3a:22:e2:b6:b5:1b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:4c:81:8b:a9:21,11.0,11.0,11.0,9.0,11.0,0.0,20.0,22.0
40:e3:d6:52:2d:20,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0
90:4c:81:8e:b4:00,0.0,0.0,3.0,1.0,0.0,1.0,2.0,3.0
ac:a3:1e:5a:ab:71,80.0,80.0,80.0,78.0,75.0,0.0,153.0,160.0
9e:18:88:fb:ae:37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:4c:81:8c:0d:50,2.0,2.0,2.0,0.0,1.0,0.0,1.0,4.0
c8:b5:ad:af:1b:b1,4.0,4.0,4.0,2.0,1.0,1.0,4.0,8.0
18:bb:26:d9:12:77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32:01:cf:00:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b8:41:a4:6a:20:c9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:d2:3e:1b:17:23,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0
ac:37:43:e0:08:72,99.0,99.0,114.0,92.0,79.0,12.0,183.0,213.0
c8:e0:eb:50:6d:0f,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0
90:4c:81:8f:27:e1,3.0,3.0,3.0,3.0,3.0,0.0,6.0,6.0
5a:b0:a9:7d:21:c2,5.0,5.0,7.0,6.0,3.0,1.0,10.0,12.0
00:80:06:ed:c9:55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC:f0:5c:19:37:06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:a3:1e:5a:60:f1,9.0,9.0,9.0,9.0,7.0,2.0,18.0,18.0
70:3a:0e:50:0b:d0,22.0,22.0,22.0,12.0,19.0,1.0,32.0,44.0
d8:bb:2c:04:71:72,101.0,101.0,104.0,99.0,93.0,5.0,197.0,205.0
20:aa:4b:a8:3a:60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:30:44:32:cc:8e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:09:68:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60:f2:62:ec:15:1c,11.0,11.0,11.0,0.0,11.0,0.0,11.0,22.0
f4:44:4f:d5:2c:e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:98:c3:82:d7:93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2a:c1:3a:00:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:17:c3:8a:04:f0,4.0,4.0,4.0,4.0,4.0,0.0,8.0,8.0
ac:a3:1e:54:18:70,38.0,38.0,39.0,22.0,26.0,1.0,49.0,77.0
00:00:2d:1a:ef:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:9b:2f:44:aa:76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:3c:40:64:c0:05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f0:5c:19:35:15:e1,33.0,33.0,36.0,22.0,17.0,2.0,41.0,69.0
e4:9a:dc:cb:1e:ab,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0
ac:a3:1e:5a:54:e0,15.0,15.0,15.0,10.0,14.0,0.0,24.0,30.0
c4:93:d9:e5:e7:29,156.0,156.0,168.0,157.0,147.0,2.0,306.0,324.0
bc:82:5d:1b:5b:18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88:8c:95:99:02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:a3:1e:5a:51:b1,65.0,65.0,66.0,53.0,44.0,6.0,103.0,131.0
50:bc:96:7f:2b:8d,52.0,52.0,57.0,51.0,43.0,4.0,98.0,109.0
c8:b5:ad:af:21:a1,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0
b2:00:73:c0:00:1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a2:78:47:52:e8:4c,34.0,34.0,35.0,33.0,30.0,2.0,65.0,69.0
ac:a3:1e:59:bd:71,2.0,2.0,2.0,1.0,1.0,0.0,2.0,4.0
90:4c:81:8b:d8:91,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0
74:84:6b:0c:05:82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b4:5d:50:13:24:a0,140.0,140.0,142.0,123.0,97.0,40.0,260.0,282.0
14:7d:da:0d:b2:46,7.0,7.0,7.0,5.0,2.0,4.0,11.0,14.0
70:3a:0e:50:8e:c0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0
80:86:f2:8e:94:a5,3.0,3.0,3.0,1.0,2.0,0.0,3.0,6.0
e8:fb:e9:95:81:a9,39.0,39.0,46.0,40.0,24.0,8.0,72.0,85.0
90:4c:81:8f:08:e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7c:ab:60:7f:91:f7,5.0,5.0,6.0,4.0,3.0,1.0,8.0,11.0
82:a6:aa:5d:d4:b5,163.0,163.0,175.0,147.0,124.0,15.0,286.0,338.0
48:4a:e9:d6:10:80,70.0,70.0,73.0,35.0,36.0,10.0,81.0,143.0
d0:2b:20:73:20:6d,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0
60:f4:45:d0:c8:45,60.0,60.0,61.0,60.0,56.0,2.0,118.0,121.0
80:8d:b7:7d:59:60,197.0,197.0,241.0,169.0,130.0,62.0,361.0,438.0
86:23:da:ef:6e:de,204.0,204.0,222.0,199.0,172.0,10.0,381.0,426.0
9c:30:5b:14:48:b7,2.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0
20:3c:ae:4d:f2:e0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0
6e:58:54:9a:dd:36,374.0,374.0,392.0,357.0,333.0,12.0,702.0,766.0
90:a2:5b:ca:35:6e,18.0,18.0,18.0,16.0,17.0,1.0,34.0,36.0
